category,item_code
G0570,4140.08
G0806,4140.08
G0042,4140.08
G0006,4140.081
G0042,4140.081
G0544,4140.081
G0570,4140.081
G1203,4140.081
G0806,4140.081
G1131,4140.081
G0006,4140.082
G0042,4140.082
G0544,4140.082
G0570,4140.082
G1207,4140.082
G0806,4140.082
G1131,4140.082
G0008,4140.162
G0033,4140.162
G0042,4140.162
G0061,4140.162
G0083,4140.162
G0122,4140.162
G0132,4140.162
G1185,4140.162
G0531,4140.162
G0544,4140.162
G0570,4140.162
G0643,4140.162
G0652,4140.162
G0806,4140.162
G0004,4140.163
G0033,4140.163
G0039,4140.163
G0042,4140.163
G0091,4140.163
G0122,4140.163
G0132,4140.163
G1186,4140.163
G0531,4140.163
G0544,4140.163
G0570,4140.163
G0646,4140.163
G0806,4140.163
G0042,4140.9
G0122,4140.9
G0132,4140.9
G0233,4140.9
G0570,4140.9
G0643,4140.9
G0042,4140.901
G0122,4140.901
G0132,4140.901
G0236,4140.901
G0570,4140.901
G0643,4140.901
G0042,4140.902
G0122,4140.902
G0132,4140.902
G0237,4140.902
G0570,4140.902
G0643,4140.902
G0023,4140.903
G0042,4140.903
G0047,4140.903
G0122,4140.903
G0207,4140.903
G0570,4140.903
G0636,4140.903
G0717,4140.903
G0023,4140.904
G0042,4140.904
G0047,4140.904
G0122,4140.904
G0207,4140.904
G0337,4140.904
G0570,4140.904
G0717,4140.904
G0023,4140.905
G0042,4140.905
G0047,4140.905
G0122,4140.905
G0207,4140.905
G0338,4140.905
G0534,4140.905
G0570,4140.905
G0636,4140.905
G0805,4140.905
G0806,4140.905
G0023,4140.906
G0047,4140.906
G0570,4140.906
G0717,4140.906
G0317,4140.907
G0570,4140.907
G0623,4140.907
G0643,4140.907
G0734,4140.907
G0320,4140.908
G0570,4140.908
G0623,4140.908
G0643,4140.908
G0734,4140.908
G0321,4140.909
G0570,4140.909
G0623,4140.909
G0643,4140.909
G0734,4140.909
G0008,4140.91
G0033,4140.91
G0037,4140.91
G0042,4140.91
G0082,4140.91
G0122,4140.91
G0132,4140.91
G0165,4140.91
G0207,4140.91
G0291,4140.91
G0570,4140.91
G0643,4140.91
G0808,4140.91
G0890,4140.91
G0008,4140.911
G0033,4140.911
G0042,4140.911
G0061,4140.911
G0083,4140.911
G0122,4140.911
G0132,4140.911
G0165,4140.911
G0210,4140.911
G0294,4140.911
G0570,4140.911
G0643,4140.911
G0809,4140.911
G0891,4140.911
G0004,4140.912
G0033,4140.912
G0039,4140.912
G0042,4140.912
G0091,4140.912
G0122,4140.912
G0132,4140.912
G0211,4140.912
G0295,4140.912
G0570,4140.912
G0643,4140.912
G0810,4140.912
G0892,4140.912
G0570,4140.913
G0642,4140.913
G0033,4140.914
G0037,4140.914
G0042,4140.914
G0122,4140.914
G0132,4140.914
G0165,4140.914
G0207,4140.914
G0570,4140.914
G0636,4140.914
G0885,4140.914
G0042,4140.915
G0570,4140.915
G0720,4140.915
G1182,4140.915
G0042,4140.916
G0570,4140.916
G0720,4140.916
G1185,4140.916
G0042,4140.917
G0570,4140.917
G0720,4140.917
G1186,4140.917
G0008,4140.918
G0033,4140.918
G0037,4140.918
G0042,4140.918
G0082,4140.918
G0122,4140.918
G0132,4140.918
G0165,4140.918
G0570,4140.918
G0643,4140.918
G0965,4140.918
G0966,4140.918
G1104,4140.918
G1117,4140.918
G0008,4140.919
G0033,4140.919
G0042,4140.919
G0061,4140.919
G0083,4140.919
G0122,4140.919
G0132,4140.919
G0165,4140.919
G0570,4140.919
G0643,4140.919
G0967,4140.919
G0968,4140.919
G1107,4140.919
G1119,4140.919
G0033,4140.92
G0037,4140.92
G0042,4140.92
G0082,4140.92
G0122,4140.92
G0132,4140.92
G0531,4140.92
G0570,4140.92
G0643,4140.92
G0649,4140.92
G0806,4140.92
G0033,4140.921
G0042,4140.921
G0061,4140.921
G0083,4140.921
G0122,4140.921
G0132,4140.921
G0531,4140.921
G0570,4140.921
